,Player,Seasons,Games,Minutes,DWS,Seasons_>50,Seasons_>75,Seasons_DPOY,Seasons_>50_DPOY,Seasons_>75_DPOY,DPOY_awards,DPOY_shares
/players/c/carrode01.html,DeMarre Carroll,11,578,13675,14.0,7,7,11,7,7,0,0.0015503875968992248
/players/n/noelne01.html,Nerlens Noel,7,425,9524,18.3,6,5,7,6,5,0,0.0015503875968992248
/players/w/whiteha01.html,Hassan Whiteside,9,446,11483,23.8,7,4,9,7,4,0,0.1412426952892069
/players/m/millspa01.html,Paul Millsap,15,1052,30123,45.199999999999996,14,13,15,14,13,0,0.03230769230769231
/players/d/drumman01.html,Andre Drummond,9,645,19832,38.6,9,7,9,9,7,0,0.016595582635186595
/players/c/crowdja01.html,Jae Crowder,9,668,16676,19.2,9,9,9,9,9,0,0.0015384615384615385
/players/h/horfoal01.html,Al Horford,14,881,28592,41.1,11,11,14,11,11,0,0.07480578827113481
/players/c/covinro01.html,Robert Covington,8,466,14127,19.1,6,6,8,6,6,0,0.023841584158415842
/players/r/roberan03.html,Andre Roberson,7,307,6801,8.4,3,3,7,3,3,0,0.006
/players/a/aldrila01.html,LaMarcus Aldridge,15,1029,35192,41.599999999999994,14,13,15,14,13,0,0.002
/players/e/embiijo01.html,Joel Embiid,5,260,7943,15.0,4,2,5,4,2,0,0.3887722772277228
/players/h/holidjr01.html,Jrue Holiday,12,772,25610,24.999999999999993,10,10,12,10,10,0,0.033782178217821784
/players/d/duranke01.html,Kevin Durant,13,884,32462,41.8,11,11,13,11,11,0,0.013861386138613862
/players/b/brownja02.html,Jaylen Brown,5,337,9339,11.5,5,5,5,5,5,0,0.009900990099009901
/players/t/thompkl01.html,Klay Thompson,8,615,20340,18.8,8,8,8,8,8,0,0.007920792079207921
/players/a/adamsst01.html,Steven Adams,8,588,15812,20.9,8,8,8,8,8,0,0.005940594059405941
/players/c/capelca01.html,Clint Capela,7,397,10572,16.8,6,5,7,6,5,0,0.02396039603960396
/players/n/nurkiju01.html,Jusuf Nurkić,7,355,8236,13.2,5,4,7,5,4,0,0.0019801980198019802
/players/o/oladivi01.html,Victor Oladipo,8,454,14968,17.3,5,5,8,5,5,0,0.0019801980198019802
/players/a/antetgi01.html,Giannis Antetokounmpo,8,589,19150,29.900000000000002,8,8,8,8,8,1,1.448
/players/t/turnemy01.html,Myles Turner,6,389,11144,18.2,6,4,6,6,4,0,0.036
/players/s/smartma01.html,Marcus Smart,7,449,13188,17.2,7,4,7,7,4,0,0.022
/players/a/allenja01.html,Jarrett Allen,4,285,7253,9.799999999999999,4,4,4,4,4,0,0.004
/players/s/simmobe01.html,Ben Simmons,4,275,9326,15.0,4,4,4,4,4,0,0.6379999999999999
/players/a/adebaba01.html,Bam Adebayo,4,287,7841,12.399999999999999,4,4,4,4,4,0,0.096
/players/l/lopezbr01.html,Brook Lopez,13,855,25894,28.3,11,11,13,11,11,0,0.008
/players/c/caldwke01.html,Kentavious Caldwell-Pope,8,606,17645,16.8,8,8,8,8,8,0,0.002
/players/t/thybuma01.html,Matisse Thybulle,2,130,2585,4.7,2,2,2,2,2,0,0.002
